TITLE,LOCATION,PRICE,AREA
Apartment Marnixstraat,            1016 TC Amsterdam (Jordaan)        ,"                €5,500 per month            ",143 m²
Apartment Kinkerstraat 41 3V,            1053 DD Amsterdam (Van Lennepbuurt)        ,"                €1,350 per month            ",35 m²
Apartment Cliostraat 10,            1077 KG Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",108 m²
Apartment Govert Flinckstraat 113 2A1,            1072 EG Amsterdam (Oude Pijp)        ,"                €1,528 per month            ",35 m²
Apartment Jan Pieter Heijestraat 151 3,            1054 MG Amsterdam (Helmersbuurt)        ,"                €1,450 per month            ",43 m²
Apartment De Lairessestraat 152 1,            1075 HL Amsterdam (Willemspark)        ,"                €7,000 per month            ",284 m²
Apartment Leidsekade 59 B,            1016 CX Amsterdam (Jordaan)        ,"                €1,850 per month            ",67 m²
House Eurokade,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,"                €2,750 per month            ",145 m²
Apartment Churchill-laan 282 2,            1078 GB Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",95 m²
Apartment 1e Kekerstraat 169,"            1104 VA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,500 per month            ",100 m²
Apartment Wanningstraat,            1071 LA Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",160 m²
Apartment Jacob van Lennepkade 37 2,            1054 ZG Amsterdam (Helmersbuurt)        ,"                €2,500 per month            ",71 m²
Apartment Vrolikstraat 200 bg,            1092 TS Amsterdam (Oosterparkbuurt)        ,"                €1,250 per month            ",38 m²
Apartment Frederiksplein,            1017 XN Amsterdam (De Weteringschans)        ,"                €1,900 per month            ",54 m²
Apartment Eerste Boerhaavestraat,            1091 RZ Amsterdam (Weesperzijde)        ,"                €1,950 per month            ",50 m²
Apartment Van der Hoopstraat,            1051 VN Amsterdam (Staatsliedenbuurt)        ,"                €1,900 per month            ",48 m²
Apartment Cornelis Schuytstraat,            1071 JC Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",140 m²
Apartment Gillis van Ledenberchstraat,            1052 TV Amsterdam (Frederik Hendrikbuurt)        ,"                €2,350 per month            ",85 m²
Apartment Van Heenvlietlaan 190,            1083 CM Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",117 m²
Apartment Professor J.H. Gunningstraat,            1068 MS Amsterdam (Osdorp-Oost)        ,"                €2,250 per month            ",111 m²
Apartment Blaeustraat,            1012 ZK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,200 per month            ",68 m²
Apartment Wibautstraat,            1091 GR Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",80 m²
Apartment Eerste Van Swindenstraat 76 E,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,900 per month            ",54 m²
Apartment Eerste Van Swindenstraat 76 F,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,700 per month            ",48 m²
Apartment Eerste Van Swindenstraat 76 N,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",70 m²
Apartment Eerste Van Swindenstraat 76 P,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",72 m²
Apartment Eerste Van Swindenstraat 76 G,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",67 m²
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,100 per month            ",87 m²
Apartment Schinkelkade 59 hs,            1075 VL Amsterdam (Schinkelbuurt)        ,"                €1,750 per month            ",55 m²
Apartment Overamstelstraat,            1091 TM Amsterdam (Weesperzijde)        ,"                €2,650 per month            ",103 m²
Apartment Badhuiskade 319,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,600 per month            ",80 m²
